,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
0,0,ICU model (LG+imputed),False,0,0.0,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
1,0,ICU model (LG+imputed),False,0,0.01,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
2,0,ICU model (LG+imputed),False,0,0.02,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
3,0,ICU model (LG+imputed),False,0,0.03,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
4,0,ICU model (LG+imputed),False,0,0.04,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
5,0,ICU model (LG+imputed),False,0,0.05,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
6,0,ICU model (LG+imputed),False,0,0.06,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
7,0,ICU model (LG+imputed),False,0,0.07,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
8,0,ICU model (LG+imputed),False,0,0.08,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
9,0,ICU model (LG+imputed),False,0,0.09,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
10,0,ICU model (LG+imputed),False,0,0.1,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
11,0,ICU model (LG+imputed),False,0,0.11,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
12,0,ICU model (LG+imputed),False,0,0.12,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
13,0,ICU model (LG+imputed),False,0,0.13,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
14,0,ICU model (LG+imputed),False,0,0.14,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
15,0,ICU model (LG+imputed),False,0,0.15,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
16,0,ICU model (LG+imputed),False,0,0.16,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
17,0,ICU model (LG+imputed),False,0,0.17,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
18,0,ICU model (LG+imputed),False,0,0.18,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
19,0,ICU model (LG+imputed),False,0,0.19,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
20,0,ICU model (LG+imputed),False,0,0.2,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
21,0,ICU model (LG+imputed),False,0,0.21,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
22,0,ICU model (LG+imputed),False,0,0.22,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
23,0,ICU model (LG+imputed),False,0,0.23,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
24,0,ICU model (LG+imputed),False,0,0.24,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
25,0,ICU model (LG+imputed),False,0,0.25,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
